route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,1,1,"30TH ST. PHL.",0,"4652",1
1,2,2,"30TH ST. PHL.",0,"4662",2
1,2,3,"30TH ST. PHL.",0,"4664",3
1,2,4,"30TH ST. PHL.",0,"4668",4
1,2,5,"30TH ST. PHL.",0,"4670",5
1,2,6,"30TH ST. PHL.",0,"4674",6
1,2,7,"30TH ST. PHL.",0,"4678",7
1,2,8,"30TH ST. PHL.",0,"4680",8
1,2,9,"30TH ST. PHL.",0,"4682",9
1,2,10,"30TH ST. PHL.",0,"4684",10
1,2,11,"30TH ST. PHL.",0,"4688",11
1,2,12,"30TH ST. PHL.",0,"4692",12
1,3,13,"30TH ST. PHL.",0,"4600",13
1,4,14,"30TH ST. PHL.",0,"4608",14
1,4,15,"30TH ST. PHL.",0,"4612",15
1,4,16,"30TH ST. PHL.",0,"4616",16
1,4,17,"30TH ST. PHL.",0,"4620",17
1,4,18,"30TH ST. PHL.",0,"4624",18
1,4,19,"30TH ST. PHL.",0,"4628",19
1,4,20,"30TH ST. PHL.",0,"4630",20
1,4,21,"30TH ST. PHL.",0,"4632",21
1,4,22,"30TH ST. PHL.",0,"4634",22
1,4,23,"30TH ST. PHL.",0,"4638",23
1,4,24,"30TH ST. PHL.",0,"4642",24
1,4,25,"ATLANTIC CITY",1,"4651",25
1,2,26,"ATLANTIC CITY",1,"4661",26
1,2,27,"ATLANTIC CITY",1,"4669",27
1,2,28,"ATLANTIC CITY",1,"4671",28
1,2,29,"ATLANTIC CITY",1,"4673",29
1,2,30,"ATLANTIC CITY",1,"4677",30
1,2,31,"ATLANTIC CITY",1,"4679",31
1,2,32,"ATLANTIC CITY",1,"4683",32
1,2,33,"ATLANTIC CITY",1,"4685",33
1,2,34,"ATLANTIC CITY",1,"4687",34
1,2,35,"ATLANTIC CITY",1,"4689",35
1,2,36,"ATLANTIC CITY",1,"4693",36
1,2,37,"ATLANTIC CITY",1,"4697",37
1,4,38,"ATLANTIC CITY",1,"4611",38
1,4,39,"ATLANTIC CITY",1,"4613",39
1,4,40,"ATLANTIC CITY",1,"4617",40
1,4,41,"ATLANTIC CITY",1,"4623",41
1,4,42,"ATLANTIC CITY",1,"4627",42
1,4,43,"ATLANTIC CITY",1,"4631",43
1,4,44,"ATLANTIC CITY",1,"4633",44
1,4,45,"ATLANTIC CITY",1,"4635",45
1,4,46,"ATLANTIC CITY",1,"4639",46
1,4,47,"ATLANTIC CITY",1,"4641",47
1,4,48,"ATLANTIC CITY",1,"4643",48
2,4,49,"HOBOKEN",0,"1002",49
2,4,50,"HOBOKEN",0,"1000",50
2,4,51,"HOBOKEN",0,"1070",51
2,4,52,"HOBOKEN",0,"1006",52
2,4,53,"HOBOKEN",0,"1074",53
2,5,54,"HOBOKEN",0,"1090",54
2,5,55,"HOBOKEN",0,"1092",55
2,5,56,"HOBOKEN",0,"1094",56
2,4,57,"LAKE HOPATCONG",1,"1043",57
2,4,58,"DENVILLE",1,"1009",58
2,4,59,"MOUNT OLIVE",1,"1055",59
2,4,60,"DENVILLE",1,"1003",60
2,4,61,"LAKE HOPATCONG",1,"1011",61
2,4,62,"DOVER",1,"1001",62
2,4,63,"HACKETTSTOWN",1,"1079",63
2,4,64,"MOUNT OLIVE",1,"1061",64
2,4,65,"HACKETTSTOWN",1,"1085",65
2,4,66,"HACKETTSTOWN",1,"1087",66
2,5,67,"LAKE HOPATCONG",1,"1091",67
2,5,68,"LAKE HOPATCONG",1,"1093",68
2,5,69,"LAKE HOPATCONG",1,"1095",69
3,6,70,"HOBOKEN",0,"0544",70
3,2,71,"HOBOKEN",0,"0510",71
3,2,72,"HOBOKEN",0,"0514",72
3,2,73,"HOBOKEN",0,"0518",73
3,2,74,"HOBOKEN",0,"0522",74
3,2,75,"HOBOKEN",0,"0526",75
3,2,76,"HOBOKEN",0,"0530",76
3,2,77,"HOBOKEN",0,"0534",77
3,2,78,"HOBOKEN",0,"0538",78
3,4,79,"NEW YORK PENN STATION",0,"6238",79
3,4,80,"HOBOKEN",0,"0262",80
3,4,81,"NEW YORK PENN STATION",0,"6210",81
3,4,82,"NEW YORK PENN STATION",0,"6252",82
3,4,83,"NEW YORK PENN STATION",0,"6278",83
3,4,84,"NEW YORK PENN STATION",0,"6280",84
3,4,85,"HOBOKEN",0,"0204",85
3,4,86,"HOBOKEN",0,"0208",86
3,4,87,"HOBOKEN",0,"0212",87
3,4,88,"NEW YORK PENN STATION",0,"6204",88
3,4,89,"NEW YORK PENN STATION",0,"6214",89
3,4,90,"NEW YORK PENN STATION",0,"6202",90
3,4,91,"NEW YORK PENN STATION",0,"6206",91
3,4,92,"NEW YORK PENN STATION",0,"6216",92
3,4,93,"NEW YORK PENN STATION",0,"6226",93
3,4,94,"NEW YORK PENN STATION",0,"6230",94
3,4,95,"NEW YORK PENN STATION",0,"6242",95
3,4,96,"NEW YORK PENN STATION",0,"6248",96
3,4,97,"NEW YORK PENN STATION",0,"6258",97
3,4,98,"NEW YORK PENN STATION",0,"6264",98
3,4,99,"NEW YORK PENN STATION",0,"6270",99
3,4,100,"NEW YORK PENN STATION",0,"6274",100
3,4,101,"NEW YORK PENN STATION",0,"6222",101
3,4,102,"NEW YORK PENN STATION",0,"6234",102
3,4,103,"HOBOKEN",0,"0250",103
3,4,104,"NEW YORK PENN STATION",0,"6200",104
3,5,105,"NEW YORK PENN STATION",0,"9200",105
3,5,106,"NEW YORK PENN STATION",0,"9202",106
3,5,107,"NEW YORK PENN STATION",0,"9204",107
3,4,108,"MSU",1,"6201",108
3,6,109,"BAY STREET",1,"0509",109
3,2,110,"BAY STREET",1,"0513",110
3,2,111,"BAY STREET",1,"0515",111
3,2,112,"BAY STREET",1,"0519",112
3,2,113,"BAY STREET",1,"0523",113
3,2,114,"BAY STREET",1,"0527",114
3,2,115,"BAY STREET",1,"0531",115
3,2,116,"BAY STREET",1,"0535",116
3,2,117,"BAY STREET",1,"0539",117
3,2,118,"BAY STREET",1,"0545",118
3,4,119,"MSU",1,"0211",119
3,4,120,"MSU",1,"6263",120
3,4,121,"MSU",1,"6213",121
3,4,122,"MSU",1,"0267",122
3,4,123,"MSU",1,"0275",123
3,4,124,"MSU",1,"6273",124
3,4,125,"MSU",1,"6279",125
3,4,126,"MSU",1,"6227",126
3,4,127,"MSU",1,"6233",127
3,4,128,"MSU",1,"6219",128
3,4,129,"MSU",1,"6237",129
3,4,130,"MSU",1,"6241",130
3,4,131,"MSU",1,"6245",131
3,4,132,"MSU",1,"6251",132
3,4,133,"MSU",1,"6253",133
3,4,134,"MSU",1,"6283",134
3,4,135,"MSU",1,"6291",135
3,4,136,"MSU",1,"6293",136
3,4,137,"MSU",1,"6295",137
3,4,138,"MSU",1,"6297",138
3,4,139,"MSU",1,"6299",139
3,4,140,"MSU",1,"6231",140
3,4,141,"MSU",1,"6209",141
3,4,142,"MSU",1,"0209",142
3,4,143,"MSU",1,"6215",143
3,5,144,"MSU",1,"9225",144
3,5,145,"MSU",1,"9227",145
3,5,146,"MSU",1,"9229",146
4,7,147,"HBLR TONNELLE",0,"342JC005",147
4,7,148,"HBLR TONNELLE",0,"342JC009",147
4,7,149,"HBLR TONNELLE",0,"342JC001",147
4,7,150,"HBLR TONNELLE",0,"342JC007",147
4,7,151,"HBLR TONNELLE",0,"342JC003",147
4,7,152,"HBLR TONNELLE",0,"342JC005",147
4,7,153,"HBLR TONNELLE",0,"342JC009",147
4,7,154,"HBLR TONNELLE",0,"342JC001",147
4,7,155,"HBLR TONNELLE",0,"342JC007",147
4,7,156,"HBLR TONNELLE",0,"342JC003",147
4,7,157,"HBLR TONNELLE",0,"342JC005",147
4,7,158,"HBLR TONNELLE",0,"342JC009",147
4,7,159,"HBLR TONNELLE",0,"342JC001",147
4,7,160,"HBLR TONNELLE",0,"342JC007",147
4,7,161,"HBLR TONNELLE",0,"342JC003",147
4,7,162,"HBLR TONNELLE",0,"342JC005",147
4,7,163,"HBLR TONNELLE",0,"342JC009",147
4,7,164,"HBLR TONNELLE",0,"342JC001",147
4,7,165,"HBLR TONNELLE",0,"342JC007",147
4,7,166,"HBLR TONNELLE",0,"342JC003",147
4,7,167,"HBLR TONNELLE",0,"342JC005",147
4,7,168,"HBLR TONNELLE",0,"342JC009",147
4,7,169,"HBLR TONNELLE",0,"342JC001",147
4,7,170,"HBLR TONNELLE",0,"342JC007",147
4,7,171,"HBLR TONNELLE",0,"342JC003",147
4,7,172,"HBLR TONNELLE",0,"342JC005",147
4,7,173,"HBLR TONNELLE",0,"342JC009",147
4,7,174,"HBLR TONNELLE",0,"342JC001",147
4,7,175,"HBLR TONNELLE",0,"342JC007",147
4,7,176,"HBLR TONNELLE",0,"342JC003",147
4,7,177,"HBLR TONNELLE",0,"342JC005",147
4,7,178,"HBLR TONNELLE",0,"342JC009",147
4,7,179,"HBLR TONNELLE",0,"342JC001",147
4,7,180,"HBLR TONNELLE",0,"342JC007",147
4,7,181,"HBLR TONNELLE",0,"342JC003",147
4,7,182,"HBLR TONNELLE",0,"342JC005",147
4,7,183,"HBLR TONNELLE",0,"342JC009",147
4,7,184,"HBLR TONNELLE",0,"342JC001",147
4,7,185,"HBLR TONNELLE",0,"342JC007",147
4,7,186,"HBLR TONNELLE",0,"342JC003",147
4,7,187,"HBLR TONNELLE",0,"342JC005",147
4,7,188,"HBLR TONNELLE",0,"342JC009",147
4,7,189,"HBLR TONNELLE",0,"342JC001",147
4,7,190,"HBLR TONNELLE",0,"342JC007",147
4,7,191,"HBLR TONNELLE",0,"342JC003",147
4,7,192,"HBLR TONNELLE",0,"342JC005",147
4,7,193,"HBLR TONNELLE",0,"342JC009",147
4,7,194,"HBLR TONNELLE",0,"342JC001",147
4,7,195,"HBLR TONNELLE",0,"342JC007",147
4,7,196,"HBLR TONNELLE",0,"342JC003",147
4,7,197,"HBLR TONNELLE",0,"342JC005",147
4,7,198,"HBLR TONNELLE",0,"342JC009",147
4,7,199,"HBLR TONNELLE",0,"342JC001",147
4,7,200,"HBLR TONNELLE",0,"342JC007",147
4,7,201,"HBLR TONNELLE",0,"342JC003",147
4,7,202,"HBLR TONNELLE",0,"342JC005",147
4,7,203,"HBLR TONNELLE",0,"342JC001",147
4,7,204,"HBLR TONNELLE",0,"342JC003",148
4,7,205,"HBLR HOBOKEN",0,"342JC002",149
4,7,206,"HBLR HOBOKEN",0,"342JC004",149
4,7,207,"HBLR HOBOKEN",0,"342JC008",149
4,7,208,"HBLR HOBOKEN",0,"342JC006",150
4,7,209,"HBLR HOBOKEN",0,"342JC002",150
4,7,210,"HBLR HOBOKEN",0,"342JC004",150
4,7,211,"HBLR HOBOKEN",0,"342JC008",150
4,7,212,"HBLR HOBOKEN",0,"342JC006",150
4,7,213,"HBLR HOBOKEN",0,"342JC002",150
4,7,214,"HBLR HOBOKEN",0,"342JC004",150
4,7,215,"HBLR HOBOKEN",0,"342JC008",150
4,7,216,"HBLR HOBOKEN",0,"342JC006",150
4,7,217,"HBLR HOBOKEN",0,"342JC002",150
4,7,218,"HBLR HOBOKEN",0,"342JC004",150
4,7,219,"HBLR HOBOKEN",0,"342JC008",150
4,7,220,"HBLR HOBOKEN",0,"342JC006",150
4,7,221,"HBLR HOBOKEN",0,"342JC002",150
4,7,222,"HBLR HOBOKEN",0,"342JC004",150
4,7,223,"HBLR HOBOKEN",0,"342JC008",150
4,7,224,"HBLR HOBOKEN",0,"342JC006",150
4,7,225,"HBLR HOBOKEN",0,"342JC002",150
4,7,226,"HBLR HOBOKEN",0,"342JC004",150
4,7,227,"HBLR HOBOKEN",0,"342JC008",150
4,7,228,"HBLR HOBOKEN",0,"342JC006",150
4,7,229,"HBLR HOBOKEN",0,"342JC002",150
4,7,230,"HBLR HOBOKEN",0,"342JC004",150
4,7,231,"HBLR HOBOKEN",0,"342JC008",150
4,7,232,"HBLR HOBOKEN",0,"342JC006",150
4,7,233,"HBLR HOBOKEN",0,"342JC002",150
4,7,234,"HBLR HOBOKEN",0,"342JC004",150
4,7,235,"HBLR HOBOKEN",0,"342JC008",150
4,7,236,"HBLR HOBOKEN",0,"342JC006",150
4,7,237,"HBLR HOBOKEN",0,"342JC002",150
4,7,238,"HBLR HOBOKEN",0,"342JC004",150
4,7,239,"HBLR HOBOKEN",0,"342JC008",150
4,7,240,"HBLR HOBOKEN",0,"342JC006",150
4,7,241,"HBLR HOBOKEN",0,"342JC002",150
4,7,242,"HBLR HOBOKEN",0,"342JC004",150
4,7,243,"HBLR HOBOKEN",0,"342JC008",150
4,7,244,"HBLR HOBOKEN",0,"342JC006",150
4,7,245,"HBLR HOBOKEN",0,"342JC002",150
4,7,246,"HBLR HOBOKEN",0,"342JC004",150
4,7,247,"HBLR HOBOKEN",0,"342JC008",150
4,7,248,"HBLR HOBOKEN",0,"342JC006",150
4,7,249,"HBLR HOBOKEN",0,"342JC002",150
4,7,250,"HBLR HOBOKEN",0,"342JC004",150
4,7,251,"HBLR HOBOKEN",0,"342JC008",150
4,7,252,"HBLR HOBOKEN",0,"342JC006",150
4,7,253,"HBLR HOBOKEN",0,"342JC002",150
4,7,254,"HBLR HOBOKEN",0,"342JC004",150
4,7,255,"HBLR HOBOKEN",0,"342JC008",150
4,7,256,"HBLR HOBOKEN",0,"342JC006",150
4,7,257,"HBLR HOBOKEN",0,"342JC002",150
4,7,258,"HBLR HOBOKEN",0,"342JC004",150
4,7,259,"HBLR HOBOKEN",0,"342JC008",150
4,7,260,"HBLR HOBOKEN",0,"342JC006",150
4,7,261,"HBLR HOBOKEN",0,"342JC002",150
4,7,262,"HBLR HOBOKEN",0,"342JC004",150
4,7,263,"HBLR HOBOKEN",0,"342JC006",150
4,7,264,"HBLR HOBOKEN",0,"342JC002",150
4,7,265,"HBLR WEST SIDE",1,"342JC001",151
4,7,266,"HBLR WEST SIDE",1,"342JC007",151
4,7,267,"HBLR WEST SIDE",1,"342JC003",151
4,7,268,"HBLR WEST SIDE",1,"342JC005",151
4,7,269,"HBLR WEST SIDE",1,"342JC009",151
4,7,270,"HBLR WEST SIDE",1,"342JC001",151
4,7,271,"HBLR WEST SIDE",1,"342JC007",151
4,7,272,"HBLR WEST SIDE",1,"342JC003",151
4,7,273,"HBLR WEST SIDE",1,"342JC005",151
4,7,274,"HBLR WEST SIDE",1,"342JC009",151
4,7,275,"HBLR WEST SIDE",1,"342JC001",151
4,7,276,"HBLR WEST SIDE",1,"342JC007",151
4,7,277,"HBLR WEST SIDE",1,"342JC003",151
4,7,278,"HBLR WEST SIDE",1,"342JC005",151
4,7,279,"HBLR WEST SIDE",1,"342JC009",151
4,7,280,"HBLR WEST SIDE",1,"342JC001",151
4,7,281,"HBLR WEST SIDE",1,"342JC007",151
